PhotoNum,Altitude,FlightNum,FlightNam,UTCTime,XSpeed,Latitude,YSpeed,Longitude,ZSpeed,File,DateTime,class_manu,tiro_id,tiro_val,score,azi_inst,azi_med,del_azi,del_tmp,del_dst,vel_inst
243,505.759999999999991,"004",imp07,2026-03-19T12:44:10.144431,2.100000000000000,-18.370817320000000,9.699999999999999,-53.987531959999998,0.100000000000000,DJI_20260319094350_0243_D.JPG,2026-03-19T09:43:50-03:00,,34,1,0,77.98478551,77.63009849,0.35468702,3.24041414,32.44682078,10.01317096
244,505.411000000000001,"004",imp07,2026-03-19T12:44:13.280223,2.200000000000000,-18.370753530000002,9.699999999999999,-53.987243419999999,0.100000000000000,DJI_20260319094354_0244_D.JPG,2026-03-19T09:43:54-03:00,,34,1,0,77.53365225,77.64980267,0.11615042,3.13579178,31.30007069,9.98155264
245,505.004000000000019,"004",imp07,2026-03-19T12:44:16.455474,2.200000000000000,-18.370689129999999,9.699999999999999,-53.986950389999997,0.100000000000000,DJI_20260319094357_0245_D.JPG,2026-03-19T09:43:57-03:00,,34,1,0,77.60500310,77.65145732,0.04645422,3.17525101,31.77761838,10.00790750
246,504.627999999999986,"004",imp07,2026-03-19T12:44:19.695147,2.200000000000000,-18.370623349999999,9.699999999999999,-53.986652229999997,0.100000000000000,DJI_20260319094400_0246_D.JPG,2026-03-19T09:44:00-03:00,,34,1,0,77.55871331,77.65017987,0.09146656,3.23967314,32.34023453,9.98256094
247,504.242999999999995,"004",imp07,2026-03-19T12:44:22.878841,2.200000000000000,-18.370558639999999,9.699999999999999,-53.986357720000001,0.100000000000000,DJI_20260319094403_0247_D.JPG,2026-03-19T09:44:03-03:00,,34,1,0,77.60783579,77.65589376,0.04805797,3.18369389,31.93776071,10.03166820
248,503.834999999999980,"004",imp07,2026-03-19T12:44:26.106658,2.200000000000000,-18.370493400000001,9.699999999999999,-53.986060219999999,0.100000000000000,DJI_20260319094406_0248_D.JPG,2026-03-19T09:44:06-03:00,,34,1,0,77.63116414,77.64140773,0.01024360,3.22781706,32.25887023,9.99402062
249,503.447999999999979,"004",imp07,2026-03-19T12:44:29.303556,2.200000000000000,-18.370428459999999,9.800000000000001,-53.985765600000001,0.100000000000000,DJI_20260319094410_0249_D.JPG,2026-03-19T09:44:10-03:00,,34,1,0,77.56965625,77.64307544,0.07341919,3.19689798,31.95482913,9.99557361
250,503.053999999999974,"004",imp07,2026-03-19T12:44:32.491420,2.100000000000000,-18.370364120000001,9.699999999999999,-53.985470950000000,0.100000000000000,DJI_20260319094413_0250_D.JPG,2026-03-19T09:44:13-03:00,,34,1,0,77.68219743,77.62123327,0.06096417,3.18786407,31.94305830,10.02020715
251,502.637000000000000,"004",imp07,2026-03-19T12:44:35.710059,2.200000000000000,-18.370298909999999,9.699999999999999,-53.985174700000002,0.100000000000000,DJI_20260319094416_0251_D.JPG,2026-03-19T09:44:16-03:00,,34,1,0,77.58612501,77.64025438,0.05412937,3.21863890,32.12942208,9.98230094
252,502.261000000000024,"004",imp07,2026-03-19T12:44:38.964626,2.200000000000000,-18.370233330000001,9.699999999999999,-53.984873810000003,0.100000000000000,DJI_20260319094419_0252_D.JPG,2026-03-19T09:44:19-03:00,,34,1,0,77.70447721,77.61830102,0.08617619,3.25456715,32.61653910,10.02177483
